facility_name,provider,latitude,longitude,state,operator_class,cooling_type,source_url,notes
Apple Maiden NC Data Center,Apple,35.575,-81.214,NC,hyperscaler_self,hybrid,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,Apple 2024 Environmental Progress Report: Maiden NC uses outside-air economizer with adiabatic support on hot humid days. Hybrid cooling.
Apple Reno NV Data Center,Apple,39.5296,-119.8138,NV,hyperscaler_self,evaporative,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,Apple 2024 Environmental Progress Report: Reno NV uses water-cooling with chiller plant (evaporative cooling towers). Hot dry climate; high WUE.
Apple Mesa AZ Data Center,Apple,33.4152,-111.8315,AZ,hyperscaler_self,evaporative,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,Apple 2024 Environmental Progress Report: Mesa AZ uses cooling towers. Hot desert climate.
Apple Prineville OR Data Center,Apple,44.2998,-120.8345,OR,hyperscaler_self,air,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2024.pdf,Apple 2024 Environmental Progress Report: Prineville OR uses outside-air economizer (air cooling). Cool dry climate.
Oracle Austin TX Data Center,Oracle,30.2672,-97.7431,TX,hyperscaler_self,evaporative,https://www.oracle.com/corporate/citizenship/sustainability/,Oracle 2023 Sustainability Report: Austin TX uses cooling towers. Hot climate.
Oracle Ashburn VA Data Center,Oracle,39.0438,-77.4874,VA,hyperscaler_self,air,https://www.oracle.com/corporate/citizenship/sustainability/,Oracle 2023 Sustainability Report: Ashburn VA uses chilled-water CRAC (air-side). Mild VA climate.
Oracle Santa Clara CA Data Center,Oracle,37.3541,-121.9552,CA,hyperscaler_self,air,https://www.oracle.com/corporate/citizenship/sustainability/,Oracle 2023 Sustainability Report: Santa Clara CA uses CRAC + outside-air economizer (air). Mild CA climate.
Switch Reno NV Citadel Campus,Switch,39.521,-119.812,NV,colocation_major,evaporative,https://www.switch.com/data-centers/,Switch patented Triad design: outdoor air + evaporative + chilled water hybrid. Reno NV is the flagship; primarily evaporative with adiabatic on hot days.
Switch Grand Rapids MI Pyramid Campus,Switch,42.9634,-85.6681,MI,colocation_major,hybrid,https://www.switch.com/data-centers/,"Switch Grand Rapids MI. Cold climate; outside-air economizer primary, evaporative backup. Hybrid."
Switch Atlanta GA,Switch,33.749,-84.388,GA,colocation_major,evaporative,https://www.switch.com/data-centers/,Switch Atlanta GA. Hot humid; evaporative cooling towers with adiabatic assist.
CyrusOne Sterling VA Aurora,CyrusOne,38.9938,-77.4348,VA,colocation_major,air,https://www.cyrusone.com/data-center-locations/,CyrusOne Sterling VA. Industry default: CRAC + chilled water (air). Mild VA climate.
CyrusOne Chandler AZ,CyrusOne,33.3057,-111.965,AZ,colocation_major,evaporative,https://www.cyrusone.com/data-center-locations/,CyrusOne Chandler AZ. Hot dry AZ; cooling towers (evaporative).
CyrusOne San Antonio TX,CyrusOne,29.4241,-98.4936,TX,colocation_major,hybrid,https://www.cyrusone.com/data-center-locations/,CyrusOne San Antonio TX. Hot TX; adiabatic assist on hot days. Hybrid.
QTS Atlanta Suwanee GA,QTS Data Centers,34.0054,-84.0254,GA,colocation_major,hybrid,https://qtsdatacenters.com/data-centers/suwanee,QTS Suwanee GA. Hot humid GA; adiabatic assist. Hybrid.
QTS Hillsboro OR,QTS Data Centers,45.5229,-122.9898,OR,colocation_major,air,https://qtsdatacenters.com/data-centers/hillsboro,QTS Hillsboro OR. Cool dry OR; outside-air economizer (air).
DataBank Salt Lake City UT,DataBank,40.7608,-111.891,UT,colocation_major,hybrid,https://www.databank.com/data-centers/,"DataBank Salt Lake City UT (SLC1-SLC6). High-altitude dry climate; outside-air primary, evaporative on hot days. Hybrid."
DataBank Dallas TX DFW1,DataBank,32.7767,-96.797,TX,colocation_major,evaporative,https://www.databank.com/data-centers/,DataBank Dallas TX. Hot TX; cooling towers (evaporative).
DataBank Atlanta GA ATL1,DataBank,33.749,-84.388,GA,colocation_major,hybrid,https://www.databank.com/data-centers/,DataBank Atlanta GA. Hot humid; adiabatic assist. Hybrid.
CoreSite Boston MA BO1,CoreSite,42.3601,-71.0589,MA,colocation_major,air,https://www.coresite.com/data-centers/,CoreSite Boston MA. Industry default: CRAC + chilled water (air). Cool MA climate.
CoreSite Los Angeles CA LA1,CoreSite,34.0522,-118.2437,CA,colocation_major,air,https://www.coresite.com/data-centers/,CoreSite Los Angeles CA. Mild CA climate; CRAC (air).
CoreSite Reston VA VA1,CoreSite,38.9586,-77.3573,VA,colocation_major,air,https://www.coresite.com/data-centers/,CoreSite Reston VA. Mild VA climate; CRAC (air).
Equinix LA4 Los Angeles CA,Equinix,33.9166,-118.385,CA,colocation_major,air,https://www.equinix.com/data-centers/americas/los-angeles,Equinix LA4 (Torrance). Mild CA climate; CRAC (air). Same as LA1.
